results/graph_id,results/input_stats/vertices,results/input_stats/edges,results/prim/mst_edges/0/from,results/prim/mst_edges/0/to,results/prim/mst_edges/0/weight,results/prim/mst_edges/1/from,results/prim/mst_edges/1/to,results/prim/mst_edges/1/weight,results/prim/mst_edges/2/from,results/prim/mst_edges/2/to,results/prim/mst_edges/2/weight,results/prim/mst_edges/3/from,results/prim/mst_edges/3/to,results/prim/mst_edges/3/weight,results/prim/mst_edges/4/from,results/prim/mst_edges/4/to,results/prim/mst_edges/4/weight,results/prim/mst_edges/5/from,results/prim/mst_edges/5/to,results/prim/mst_edges/5/weight,results/prim/mst_edges/6/from,results/prim/mst_edges/6/to,results/prim/mst_edges/6/weight,results/prim/mst_edges/7/from,results/prim/mst_edges/7/to,results/prim/mst_edges/7/weight,results/prim/mst_edges/8/from,results/prim/mst_edges/8/to,results/prim/mst_edges/8/weight,results/prim/total_cost,results/prim/operations_count,results/prim/execution_time_ms,results/kruskal/mst_edges/0/from,results/kruskal/mst_edges/0/to,results/kruskal/mst_edges/0/weight,results/kruskal/mst_edges/1/from,results/kruskal/mst_edges/1/to,results/kruskal/mst_edges/1/weight,results/kruskal/mst_edges/2/from,results/kruskal/mst_edges/2/to,results/kruskal/mst_edges/2/weight,results/kruskal/mst_edges/3/from,results/kruskal/mst_edges/3/to,results/kruskal/mst_edges/3/weight,results/kruskal/mst_edges/4/from,results/kruskal/mst_edges/4/to,results/kruskal/mst_edges/4/weight,results/kruskal/mst_edges/5/from,results/kruskal/mst_edges/5/to,results/kruskal/mst_edges/5/weight,results/kruskal/mst_edges/6/from,results/kruskal/mst_edges/6/to,results/kruskal/mst_edges/6/weight,results/kruskal/mst_edges/7/from,results/kruskal/mst_edges/7/to,results/kruskal/mst_edges/7/weight,results/kruskal/mst_edges/8/from,results/kruskal/mst_edges/8/to,results/kruskal/mst_edges/8/weight,results/kruskal/total_cost,results/kruskal/operations_count,results/kruskal/execution_time_ms
1,10,25,A,D,4,F,G,4,G,I,5,C,G,6,C,J,6,B,G,9,D,E,9,C,D,11,H,I,13,67,11,3.3,A,D,4,F,G,4,G,I,5,C,G,6,C,J,6,B,G,9,D,E,9,C,D,11,H,I,13,67,117,4.29
2,9,19,C,D,2,H,I,4,F,G,6,B,F,9,D,F,9,D,E,10,E,H,10,A,B,23,,,,73,8,0.2,C,D,2,H,I,4,F,G,6,B,F,9,D,F,9,D,E,10,E,H,10,A,B,23,,,,73,88,0.11
3,8,16,B,F,6,E,F,9,C,H,10,D,G,10,A,D,12,E,G,12,B,C,15,,,,,,,74,7,0.11,B,F,6,E,F,9,C,H,10,D,G,10,A,D,12,E,G,12,B,C,15,,,,,,,74,60,0.08
4,9,16,D,E,1,D,I,3,A,E,4,E,F,7,F,G,11,B,C,14,A,B,21,E,H,22,,,,83,9,0.08,D,E,1,D,I,3,A,E,4,E,F,7,F,G,11,B,C,14,A,B,21,E,H,22,,,,83,67,0.04
5,7,11,B,C,8,D,G,9,A,G,10,A,B,12,F,G,17,D,E,20,,,,,,,,,,76,8,0.05,B,C,8,D,G,9,A,G,10,A,B,12,A,F,17,D,E,20,,,,,,,,,,76,52,0.04
